ResearchFieldId,ResearchFieldLabel,PaperId,PaperTitle,Contribution
R11,Science,R25178,"Tsang Ing Re, Off-line signature verification: an approach based on combining distances and one-class classifiers",R25179
R11,Science,R25219,On Replica Placement for QOSAware Content Distribution,R25220
R11,Science,R25191,GMM For Offline Signature Forgery Detection,R25192
R11,Science,R25188,Offline Signature Verification Using Shape Dissimilarities,R25189
R11,Science,R25175,Offline Signature Verification Using Classifier Combination of HOG and LBP Features,R25176
R11,Science,R25185,Effect of Euler Number as a Feature in gender Recognition System from Offline HandwrittenSignature Using Neural Networks,R25186
R11,Science,R25193,Discriminative DCT: An Efficient and Accurate Approach for Off-line Signature Verification,R25194
R11,Science,R25166,Off- line signature verification based on grey level information using texture features,R25167
R11,Science,R25196,Cheque Signature Verification System using FFBP Neural Network Architecture and Feature Extraction based on GLCM,R25197
R11,Science,R25199,Offline Signature Verification Based on Pseudo-Cepstral Co-efficients 10 th International Conference on Document Analysis and Recognition,R25200
R11,Science,R25203,Replication Algorithms in a Remote Caching Architectures,R25204
R11,Science,R25205,A QOS-Aware Intelligent Replica Management Architecture for Content Distribution in Peer-to-Peer Overlay Networks,R25206
R11,Science,R25213,"A Fast Replica Placement Methodology for Large-scale Distributed Computing Systems. World Academy of Science, Engineering and Technology",R25214
R11,Science,R25211,Distributed Selfish Caching,R25212
R11,Science,R25207,Replica Placement Algorithms in Content Distribution Networks,R25208
R11,Science,R25217,A Distributed Algorithm for the Replica Placement Problem,R25218
R11,Science,R25225,Proceedings of the 46th Annual Meeting of the Association for Computational Linguistics on Human Language Technologies Short Papers - HLT '08,R25226
R11,Science,R25209,Distributed Selfish Replication,R25210
R11,Science,R25215,A Distributed Algorithm for Web content Replication,R25216
R11,Science,R25221,Dynamic Replica Placement for Scalable Content Delivery,R25222
R11,Science,R25233,Arabic SentiWordNet in relation to SentiWordNet,R25234
R11,Science,R25227,Toward building a large-scale Arabic sentiment lexicon,R25228
R11,Science,R25229,Arabic sentiment analysis: Lexicon-based and corpus-based,R25230
R11,Science,R25243,Building Large Arabic Multi-domain Resources for Sentiment Analysis,R25244
R11,Science,R25231,Proceedings of Human Language Technologies: The Annual Conference of the North American Chapter of the Association for Computational Linguistics: Demonstrations on XX - NAACL '07,R25232
R11,Science,R25239,Building an Arabic sentiment lexicon using semi-supervised learning,R25240
R11,Science,R25247,SLSA: A Sentiment Lexicon for Standard Arabic,R25248
R11,Science,R25241,"SANA: A large scale multi-genre, multi-dialect lexicon for Arabic subjectivity and sentiment analysis",R25242
R11,Science,R25245,Automatic expandable large-scale sentiment lexicon of modern standard Arabic and colloquial,R25246
R11,Science,R25249,NileULex: A phrase and word level sentiment lexicon for egyptian and modern standard Arabic,R25250
R11,Science,R25235,Automatic Lexicon Construction for Arabic Sentiment Analysis,R25236
R11,Science,R25253,AraSenTi: Large-Scale Twitter-Specific Arabic Sentiment Lexicons,R25254
R11,Science,R25260,Adaptive fuzzy-valued service selection,R25261
R11,Science,R25280,Discovering semantic Web services via advanced graph-based matching,R25281
R11,Science,R25251,Arabic senti-lexicon: Constructing publicly available language resources for Arabic sentiment analysis,R25252
R11,Science,R25269,On Extending Semantic Matchmaking to Include Preconditions and Effects,R25270
R11,Science,R25272,Flexible Semantic-Based Service Matchmaking and Discovery,R25273
R11,Science,R25264,Semantic matchmaker with precondition and effect matching using SWRL,R25265
R11,Science,R25237,A Large Scale Arabic Sentiment Lexicon for Arabic Opinion Mining,R25238
R11,Science,R25276,Semantics-based composition-oriented discovery of Web services,R25277
R11,Science,R25283,BeMatch,R25284
R11,Science,R25288,A QoS Broker Based Architecture for Dynamic Web Service Selection,R25289
R11,Science,R25290,An abstract model of service discovery and binding,R25291
R11,Science,R25304,Self-adaptive semantic web service matching method,R25305
R11,Science,R25300,Web services discovery and rank: An information retrieval approach,R25301
R11,Science,R25311,Web Service Matching by Ontology Instance Categorization,R25312
R11,Science,R25294,A hybrid approach to semantic web services matchmaking,R25295
R11,Science,R25309,iSeM: Approximated Reasoning for Adaptive Hybrid Selection of Semantic Services,R25310
R11,Science,R25298,Research on Services Matching and Ranking Based on Fuzzy QoS Ontology,R25299
R11,Science,R25296,Approximate Structure-Preserving Semantic Matching,R25297
R11,Science,R25302,On the functional quality of service (FQoS) to discover and compose interoperable web services,R25303
R11,Science,R25307,Efficient QoS-Aware Service Composition with a Probabilistic Service Selection Policy,R25308
R11,Science,R25314,Consumer-centric QoS-aware selection of web services,R25315
R11,Science,R25328,Effective and Flexible NFP-Based Ranking of Web Services,R25329
R11,Science,R25317,A Fuzzy-set based Semantic Similarity Matching Algorithm for Web Service,R25318
R11,Science,R25334,URBE: Web Service Retrieval Based on Similarity Evaluation,R25335
R11,Science,R25285,YASA-M: A Semantic Web Service Matchmaker,R25286
R11,Science,R25326,Incremental Service Composition Based on Partial Matching of Visual Contracts,R25327
R11,Science,R25331,Research on Fuzzy Matching Model for Semantic Web Services,R25332
R11,Science,R25341,Discovering Services during Service-Based System Design Using UML,R25342
R11,Science,R25338,Efficient Semantic Web Service Discovery in Centralized and P2P Environments,R25339
R11,Science,R25323,Semantic Web Service Selection Based on Business Offering,R25324
R11,Science,R25346,QoS-aware web services selection with intuitionistic fuzzy set under consumer’s vague perception,R25347
R11,Science,R25344,A new service matching definition and algorithm with SAWSDL,R25345
R11,Science,R25320,Measuring Similarity of Web Services Based on WSDL,R25321
R11,Science,R25436,"Aspects of Service-Oriented Computing”, The Journal for Computing Teachers",R25437
R11,Science,R25429,"Jem treadwell “An Overview of Service- Oriented Architecture, Web Services and Grid Computing”, White Paper of HP Software Global Business Unit",R25430
R11,Science,R25348,Study on Web Service Matching and Composition Based on Ontology,R25349
R11,Science,R25350,A New Framework for Web Service Discovery Based on Behavior,R25351
R11,Science,R25354,A New Approach for Semantic Web Matching,R25355
R11,Science,R25356,WSExpress: A QoS-aware Search Engine for Web Services,R25357
R11,Science,R25374,DSL-based support for semi-automated architectural component model abstraction throughout the software lifecycle,R25375
R11,Science,R25363,Experiments in the use of XML to enhance traceability between object-oriented design specifications and source code,R25364
R11,Science,R25371,Automatic Tracing of Decisions to Architecture and Implementation,R25372
R11,Science,R25367,Evolving object oriented design to improve code traceability,R25368
R11,Science,R25380,Enabling Automated Traceability Maintenance through the Upkeep of Traceability Relations,R25381
R11,Science,R25404,A Reliability Evaluation Framework on Composite Web Service,R25405
R11,Science,R25391,The molhado hypertext versioning system,R25392
R11,Science,R25388,Continuous and automated evolution of architecture-to-implementation traceability links,R25389
R11,Science,R25384,A tactic-centric approach for automating traceability of quality concerns,R25385
R11,Science,R25408,A Rule-Based Approach For Estimating The Reliability Of Component-Based Systems,R25409
R11,Science,R25398,Architectural point mapping for design traceability,R25399
R11,Science,R25394,VbTrace: using view-based and model-driven development to support traceability in process-driven SOAs,R25395
R11,Science,R25423,Reliability Modeling for SOA Systems,R25424
R11,Science,R25431,Automatic Reliability Management in SOA-based critical systems,R25432
R11,Science,R25412,End-to-end reliability of service oriented applications,R25413
R11,Science,R25426,An Enhance Approach For Web Services Discovery with QoS,R25427
R11,Science,R25418,Composite web QoS with workflow conditional pathways using bounded sets,R25419
R11,Science,R25420,Hybrid Reliability Model to Enhance the Efficiency of Composite Web Services,R25421
R11,Science,R25416,Dependability and Rollback Recovery For Composite Web Services,R25417
R11,Science,R25439,Reliability of Component Based systems- a Critical Survey,R25440
R11,Science,R25442,Synergies between SOA and Grid computing,R25443
R11,Science,R25433,"Component-Based Software Engineering: Technologies, Development Frameworks, and Quality Assurance Schemes”, Asia-Pacific Software Engineering Conference",R25434
R11,Science,R25445,Estimating Reliability Of Service-Oriented Systems: A Rule- Based Approach”,R25446
R11,Science,R25451,One-Day Bayesian Cloning of Type 1 Diabetes Subjects: Toward a Single-Day UVA/Padova Type 1 Diabetes Simulator,R25452
R11,Science,R25377,Automatically identifying changes that impact code-to-design traceability during evolution,R25378
R11,Science,R25463,A deep analysis on optimization techniques for appropriate PID tuning to incline efficient artificial pancreas,R25464
R11,Science,R25449,Robust PBPK/PD-Based Model Predictive Control of Blood Glucose,R25450
R11,Science,R25457,Event-Triggered Model Predictive Control for Embedded Artificial Pancreas Systems,R25458
R11,Science,R25487,Development of a Reinforcement Learning-based Evolutionary Fuzzy Rule-Based System for diabetes diagnosis,R25488
R11,Science,R25453,Individualized model predictive control for the artificial pancreas: In silico evaluation of closed-loop glucose control,R25454
R11,Science,R25459,Model predictive control with integral action for artificial pancreas,R25460
R11,Science,R25465,Neural network-based model predictive control for type 1 diabetic rats on artificial pancreas system,R25466
R11,Science,R25467,Performance Analysis of Fuzzy-PID Controller for Blood Glucose Regulation in Type-1 Diabetic Patients,R25468
R11,Science,R25469,Postprandial fuzzy adaptive strategy for a hybrid proportional derivative controller for the artificial pancreas,R25470
R11,Science,R25475,Modeling Day-to-Day Variability of Glucose–Insulin Regulation Over 12-Week Home Use of Closed-Loop Insulin Delivery,R25476
R11,Science,R25471,Continuous blood glucose level prediction of Type 1 Diabetes based on Artificial Neural Network,R25472
R11,Science,R25455,Rapid Model Identification for Online Subcutaneous Glucose Concentration Prediction for New Subjects With Type I Diabetes,R25456
R11,Science,R25473,Toward a Run-to-Run Adaptive Artificial Pancreas: In Silico Results,R25474
R11,Science,R25481,An Ontology-Based Interpretable Fuzzy Decision Support System for Diabetes Diagnosis,R25482
R11,Science,R25477,Model Free iPID Control for Glycemia Regulation of Type-1 Diabetes,R25478
R11,Science,R25479,A Long-Term Model of the Glucose-Insulin Dynamics of Type 1 Diabetes,R25480
R11,Science,R25485,Adaptive sliding mode Gaussian controller for artificial pancreas in TIDM patient,R25486
R11,Science,R25461,A genetic algorithm approach to customizing a glucose model based on usual therapeutic parameters,R25462
R11,Science,R25497,Crowdfunding to generate crowdsourced R&D: The alternative paradigm of societal problem solving offered by second generation innovation and R&D,R25498
R11,Science,R25489,Adaptive fuzzy integral sliding mode control of blood glucose level in patients with type 1 diabetes: In silico studies,R25490
R11,Science,R25499,A rewarding experience? Exploring how crowdfunding is affecting music industry business models,R25500
R11,Science,R25493,A fuzzy- ontology-oriented case-based reasoning framework for semantic diabetes diagnosis,R25494
R11,Science,R25483,Adaptive model predictive control for a dual-hormone artificial pancreas,R25484
R11,Science,R25491,Model individualization for artificial pancreas,R25492
R11,Science,R25501,Platform Strategy and Market Response Impact on the Success of Crowdfunding: A Chinese Case,R25502
R11,Science,R25503,Product and Pricing Decisions in Crowdfunding,R25504
R11,Science,R25505,Social finance and crowdfunding for social enterprises: a public–private case study providing legitimacy and leverage,R25506
R11,Science,R25507,The formation and interplay of social capital in crowdfunded social ventures,R25508
R11,Science,R25521,The backer–developer connection: Exploring crowdfunding’s influence on video game production,R25522
R11,Science,R25509,Entrepreneurial implications of crowdfunding as alternative funding source for innovations,R25510
R11,Science,R25517,Choose wisely: Crowdfunding through the stages of the startup life cycle,R25518
R11,Science,R25515,The unique value of crowdfunding is not money - it’s community,R25516
R11,Science,R25523,"Toward a better understanding of crowdfunding, openness and the consequences for innovation",R25524
R11,Science,R25511,Consumers' engagement in co- creation of value and crowdfunding: Naked wine as a best practice,R25512
R11,Science,R25513,The dynamics of crowdfunding: An exploratory study,R25514
R11,Science,R25519,The role of balanced centricity in the Spanish creative industries adopting a crowdfunding organisational model,R25520
R11,Science,R25525,Effects of Social Interaction Dynamics on Platforms,R25526
R11,Science,R25527,What Goes around Comes Around? Rewards as Strategic Assets in Crowdfunding,R25528
R11,Science,R25533,A Flexible Model-Driven Game Development Approach,R25534
R11,Science,R25535,Automatic prototyping in model-driven game development,R25536
R11,Science,R25539,Enabling Educators to Design Serious Games – A Serious Game Logic and Structure Modeling Language,R25540
R11,Science,R25531,A DSL for rapid prototyping of cross-platform tower defense games,R25532
R11,Science,R25541,"Enabling control of 3D visuals, scenarios and non-linear gameplay in serious game development through model-driven authoring",R25542
R11,Science,R25545,MDA game design for video game development by genre,R25546
R11,Science,R25537,Building a Game Engine: A Tale of Modern Model-Driven Engineering,R25538
R11,Science,R25551,Model-driven development of interactive and integrated 2D and 3D user interfaces using mml,R25552
R11,Science,R25549,Model-Driven Serious Game Development Integration of the Gamification Modeling Language GaML with Unity,R25550
R11,Science,R25547,Model-driven development of user interfaces for educational games,R25548
R11,Science,R25543,Generating Ambient Behaviors in Computer Role-Playing Games,R25544
R11,Science,R25553,The RPG DSL: A case study of language engineering using MDD for generating RPG games for mobile phones,R25554
R11,Science,R25559,Gade4all: Developing multi-platform videogames based on domain specific languages and model-driven engineering,R25560
R11,Science,R25561,Model-driven game development-case study: An MTC for Mazegame s Prototyping,R25562
R11,Science,R25555,Virtual worlds on demand? Model-driven development of javascript-based virtual world UI components for mobile apps,R25556
R11,Science,R25615,The Impact of Methods and Techniques on Outcomes from Agile Software Development Projects,R25616
R11,Science,R25565,Using domain-specific modeling towards computer games development industrialization,R25566
R11,Science,R25563,PULP scription: A DSL for mobile HTML5 game applications,R25564
R11,Science,R25571,A Model-Based Approach for Designing Location-Based Games,R25572
R11,Science,R25567,Eberos GML2D,R25568
R11,Science,R25577,How to integrate domain-specific languages into the game development process,R25578
R11,Science,R25573,Models and mechanisms for implementing playful scenarios,R25574
R11,Science,R25581,RealCoins A Case Study of Enhanced Model Driven Development for Pervasive Games,R25582
R11,Science,R25575,Facilitating language-oriented game development by the help of language workbenches,R25576
R11,Science,R25569,Engine- Cooperative Game Modeling (ECGM),R25570
R11,Science,R25591,Usage and Perceptions of Agile Software Development in an Industrial Context: An Exploratory Study,R25592
R11,Science,R25579,Improving digital game development with software product lines,R25580
R11,Science,R25587,Empirical Investigation on Agile Methods Usage: Issues Identified from Early Adopters in Malaysia),R25588
R11,Science,R25595,Agile systems development and stakeholder satisfaction: a South African empirical study,R25596
R11,Science,R25599,Effects of agile practices on social factors,R25600
R11,Science,R25593,A survey study of critical success factors in agile software projects,R25594
R11,Science,R25605,Agile Team Perceptions of Productivity Factors,R25606
R11,Science,R25597,An empirical study on the relationship between the use of agile practices and the success of Scrum projects,R25598
R11,Science,R25602,Acceptance of software process innovations- The case of extreme programming,R25603
R11,Science,R25612,Investigating the Long-Term Acceptance of Agile Methodologies: An Empirical Study of Developer Perceptions in Scrum Projects,R25613
R11,Science,R25608,Identifying some important success factors in adopting agile software development practices,R25609
R11,Science,R25617,Understanding post-adoptive agile usage: An exploratory cross- case analysis,R25618
R11,Science,R25621,The influence of organizational culture on the adoption of extreme programming,R25622
R11,Science,R25623,Drivers of agile software development use: Dialectic interplay between benefits and hindrances. Information and Software Technology,R25624
R11,Science,R25557,A visual language for the creation of narrative educational games,R25558
R11,Science,R25625,Assimilation of agile practices in use,R25626
R11,Science,R25655,Comparing order picking assisted by head-up display versus pick-by-light with explicit pick confirmation,R25656
R11,Science,R25619,The Impact of Organizational Culture on Agile Method Use,R25620
R11,Science,R25627,Experience Report: The Social Nature of Agile Teams,R25628
R11,Science,R25610,A qualitative study of the determinants of self-managing team effectiveness in a scrum team,R25611
R11,Science,R25635,Augmented & Virtual Reality applications in the field of logistics,R25636
R11,Science,R25631,Reducing Warehouse Employee Errors Using Voice-Assisted Technology That Provided Immediate Feedback,R25632
R11,Science,R25633,Neue Techniken zur Informationsbereitstellung in der Kommissionierung. Neue Wege in der Automobillogistik,R25634
R11,Science,R25637,Pick-by-Vision,R25638
R11,Science,R25645,"Anordnung zur Übertragung von Zuständigkeiten für den Erlass von Widerspruchsbescheiden und die Vertretung des Dienstherrn bei Klagen von Beschäftigten der Bundesanstalt für Arbeitsschutz und Arbeitsmedizin in Reisekosten-, Umzugskosten- und Trennungsgeldangelegenheiten sowie in Angelegenheiten nach der Bundesbeihilfeverordnung",R25646
R11,Science,R25641,An empirical task analysis of warehouse order picking using head-mounted displays,R25642
R11,Science,R25651,Order picking supported by mobile computing,R25652
R11,Science,R25643,Pick-by-vision: there is something to pick at the end of the augmented tunnel,R25644
R11,Science,R25722,Visualizing ontologies with VOWL,R25723
R11,Science,R25649,Vermeidung von Kommissionierfehlern mit Pick-by-Vision,R25650
R11,Science,R25639,Pick-by-Vision: A first stress test,R25640
R11,Science,R25683,Information content based ranking metric for linked open vocabularies,R25684
R11,Science,R25657,Pick from here!,R25658
R11,Science,R25659,"Exploring the role of picker personality in predicting picking performance with pick by voice, pick to light and RF-terminal picking",R25660
R11,Science,R25701,GrOWL: A Tool for Visualization and Editing of OWL Ontologies,R25702
R11,Science,R25695,GrouseFlocks: Steerable Exploration of Graph Hierarchy Space,R25696
R11,Science,R25674,The World of Data Visualization,R25716
R11,Science,R25674,The World of Data Visualization,R25675
R11,Science,R25698,Node-centric RDF Graph Visualization,R25699
R11,Science,R25710,A Visualization Service for the Semantic Web,R25711
R11,Science,R25706,Gephi: An Open Source Software for Exploring and Manipulating Networks,R25707
R11,Science,R25661,"A Comparative Study of an Assistance System for Manual Order Picking -- Called Pick-by-Projection -- with the Guiding Systems Pick-by-Paper, Pick-by-Light and Pick-by-Display",R25662
R11,Science,R25730,A Fast Algorithm for Mining Utility-Frequent Itemsets,R25731
R11,Science,R25728,A fast high utility itemsets mining algorithm,R25729
R11,Science,R25732,Fast Algorithms for Mining Association Rules,R25733
R11,Science,R25774,Palladium sulphide – A highly selective catalyst for the gas phase hydrogenation of alkynes to alkenes,R25775
R11,Science,R25724,graphVizdb: A scalable platform for interactive large graph visualization,R25725
R11,Science,R25736,An Efficient Algorithm for Mining Frequent Itemsets over the Entire History of Data Streams,R25766
R11,Science,R25736,An Efficient Algorithm for Mining Frequent Itemsets over the Entire History of Data Streams,R25737
R11,Science,R25734,A Fast Algorithm for Mining Share-Frequent Itemsets,R25735
R11,Science,R25738,CTU-Mine: An Efficient High Utility Itemset Mining Algorithm Using the Pattern Growth Approach,R25739
R11,Science,R25714,A Novel Approach to Visualizing and Navigating Ontologies,R25715
R11,Science,R25740,An efficient algorithm for mining temporal high utility itemsets from data streams,R25741
R11,Science,R25740,An efficient algorithm for mining temporal high utility itemsets from data streams,R25765
R11,Science,R25744,A Parallel Apriori Algorithm for Frequent Itemsets Mining,R25745
R11,Science,R25742,A transaction mapping algorithm for frequent itemsets mining,R25743
R11,Science,R25748,Efficient mining of weighted association rules (WAR),R25749
R11,Science,R25750,Efficient Mining of High Utility Itemsets from Large Datasets,R25751
R11,Science,R25746,Mining High Utility Itemsets in Large High Dimensional Data,R25747
R11,Science,R25752,An effective Fuzzy Healthy Association Rule Mining Algorithm (FHARM),R25753
R11,Science,R25754,Fuzzy Weighted Association Rule Mining with Weighted Support and Confidence Framework,R25755
R11,Science,R25760,Experiences of Using a Quantitative Approach for Mining Association Rules,R25767
R11,Science,R25760,Experiences of Using a Quantitative Approach for Mining Association Rules,R25761
R11,Science,R25653,"A comparison of order picking assisted by head-up display (HUD), cart-mounted display (CMD), light, and paper pick list",R25654
R11,Science,R25758,PRICES: An Efficient Algorithm for Mining Association Rules,R25759
R11,Science,R25756,A trie-based APRIORI implementation for mining frequent item sequences,R25757
R11,Science,R25647,Visual Guided Picking -Ergonomische und wirtschaftliche Unterstützung in der Intralogistik,R25648
R11,Science,R25770,"A Highly Selective Catalyst for Partial Hydrogenation of 1,3-Butadiene: MgO-Supported Rhodium Clusters Selectively Poisoned with CO",R25771
R11,Science,R25763,H-Mine: Fast and space-preserving frequent pattern mining in large databases,R25764
R11,Science,R25720,A Visual Summary for Linked Open Data sources,R6470
R11,Science,R25720,A Visual Summary for Linked Open Data sources,R25721
R11,Science,R25830,Room temperature O2 plasma treatment of SiO2 supported Au catalysts for selective hydrogenation of acetylene in the presence of large excess of ethylene,R25831
R11,Science,R25779,TiO2-modified nano-egg-shell Pd catalyst for selective hydrogenation of acetylene,R25780
R11,Science,R25776,Selective hydrogenation of mixed alkyne/alkene streams at elevated pressure over a palladium sulfide catalyst,R25777
R11,Science,R25776,Selective hydrogenation of mixed alkyne/alkene streams at elevated pressure over a palladium sulfide catalyst,R25778
R11,Science,R25772,Detecting the Genesis of a High-Performance Carbon-Supported Pd Sulfide Nanophase and Its Evolution in the Hydrogenation of Butadiene,R25773
R11,Science,R25781,Pd catalyst promoted by two metal oxides with different reducibilities: Properties and performance in the selective hydrogenation of acetylene,R25782
R11,Science,R25783,Pd@C core–shell nanoparticles on carbon nanotubes as highly stable and selective catalysts for hydrogenation of acetylene to ethylene,R25784
R11,Science,R25785,"Selective hydrogenation of 1,3-butadiene on platinum–copper alloys at the single-atom limit",R25786
R11,Science,R25816,"Single-Atom Pd1/Graphene Catalyst Achieved by Atomic Layer Deposition: Remarkable Performance in Selective Hydrogenation of 1,3-Butadiene",R25817
R11,Science,R25793,Performance of Cu-promoted Pd catalysts prepared by adding Cu using a surface redox method in acetylene hydrogenation,R25794
R11,Science,R25787,Promotional effect of Pd single atoms on Au nanoparticles supported on silica for the selective hydrogenation of acetylene in excess ethylene,R25788
R11,Science,R25795,Performance of Pd–Ag/Al2O3 catalysts prepared by the selective deposition of Ag onto Pd in acetylene hydrogenation,R25796
R11,Science,R25797,TiO2 supported Pd@Ag as highly selective catalysts for hydrogenation of acetylene in excess ethylene,R25798
R11,Science,R25791,Performance of Cu-Alloyed Pd Single-Atom Catalyst for Semihydrogenation of Acetylene under Simulated Front-End Conditions,R25792
R11,Science,R25789,Ag Alloyed Pd Single-Atom Catalysts for Efficient Selective Hydrogenation of Acetylene to Ethylene in Excess Ethylene,R25790
R11,Science,R25801,Synthesis and Catalytic Properties of Nanoparticulate Intermetallic Ga–Pd Compounds,R25802
R11,Science,R25803,Intermetallic Compound Pd 2 Ga as a Selective Catalyst for the Semi-Hydrogenation of Acetylene: From Model to High Performance Systems,R25804
R11,Science,R25799,Palladium–gallium intermetallic compounds for the selective hydrogenation of acetylenePart II: Surface characterization and catalytic performance,R25806
R11,Science,R25799,Palladium–gallium intermetallic compounds for the selective hydrogenation of acetylenePart II: Surface characterization and catalytic performance,R25800
R11,Science,R25799,Palladium–gallium intermetallic compounds for the selective hydrogenation of acetylenePart II: Surface characterization and catalytic performance,R25805
R11,Science,R25807,Nanosizing Intermetallic Compounds Onto Carbon Nanotubes: Active and Selective Hydrogenation Catalysts,R25808
R11,Science,R25809,PdZn Intermetallic Nanostructure with Pd–Zn–Pd Ensembles for Highly Active and Chemoselective Semi-Hydrogenation of Acetylene,R25810
R11,Science,R25809,PdZn Intermetallic Nanostructure with Pd–Zn–Pd Ensembles for Highly Active and Chemoselective Semi-Hydrogenation of Acetylene,R25811
R11,Science,R25826,"Supported gold catalysts for selective hydrogenation of 1,3-butadiene in the presence of an excess of alkenes",R25827
R11,Science,R25824,50 ppm of Pd dispersed on Ni(OH)2 nanosheets catalyzing semi-hydrogenation of acetylene with high activity and selectivity,R25825
R11,Science,R25822,Pd/ZnO catalysts with different origins for high chemoselectivity in acetylene semi-hydrogenation,R25823
R11,Science,R25828,"Selective Hydrogenation of 1,3-Butadiene in the Presence of an Excess of Alkenes over Supported Bimetallic Gold−Palladium Catalysts",R25829
R11,Science,R25818,Enhancing both selectivity and coking-resistance of a single-atom Pd1/C3N4 catalyst for acetylene hydrogenation,R25819
R11,Science,R25820,Atomically Dispersed Pd on Nanodiamond/Graphene Hybrid for Selective Hydrogenation of Acetylene,R25821
R11,Science,R25812,MOF-Confined Sub-2 nm Atomically Ordered Intermetallic PdZn Nanoparticles as High-Performance Catalysts for Selective Hydrogenation of Acetylene,R25813
R11,Science,R25836,"Comparative study of Au/ZrO2 catalysts in CO oxidation and 1,3-butadiene hydrogenation",R25837
R11,Science,R25832,Selective hydrogenation of acetylene in excess ethylene over SiO2 supported Au–Ag bimetallic catalyst,R25833
R11,Science,R25834,"High performance of carbon nanotubes confining gold nanoparticles for selective hydrogenation of 1,3-butadiene and cinnamaldehyde",R25835
R11,Science,R25842,Cooperative Effects in Ternary Cu−Ni−Fe Catalysts Lead to Enhanced Alkene Selectivity in Alkyne Hydrogenation,R25843
R11,Science,R25840,Partial hydrogenation of propyne over copper-based catalysts and comparison with nickel-based analogues,R25841
R11,Science,R25814,Isolated Single-Atom Pd Sites in Intermetallic Nanostructures: High Catalytic Selectivity for Semihydrogenation of Alkynes,R25815
R11,Science,R25848,Selective hydrogenation of acetylene on SiO2 supported Ni-In bimetallic catalysts: Promotional effect of In,R25849
R11,Science,R25850,Ceria in hydrogenation catalysis: high selectivity in the conversion of alkynes to olefins,R25852
R11,Science,R25850,Ceria in hydrogenation catalysis: high selectivity in the conversion of alkynes to olefins,R25851
