ResearchFieldId,ResearchFieldLabel,PaperId,PaperTitle
R11,Science,R25196,Cheque Signature Verification System using FFBP Neural Network Architecture and Feature Extraction based on GLCM
R11,Science,R25199,Offline Signature Verification Based on Pseudo-Cepstral Co-efficients 10 th International Conference on Document Analysis and Recognition
R11,Science,R25203,Replication Algorithms in a Remote Caching Architectures
R11,Science,R25205,A QOS-Aware Intelligent Replica Management Architecture for Content Distribution in Peer-to-Peer Overlay Networks
R11,Science,R25213,"A Fast Replica Placement Methodology for Large-scale Distributed Computing Systems. World Academy of Science, Engineering and Technology"
R11,Science,R25211,Distributed Selfish Caching
R11,Science,R25207,Replica Placement Algorithms in Content Distribution Networks
R11,Science,R25217,A Distributed Algorithm for the Replica Placement Problem
R11,Science,R25225,Proceedings of the 46th Annual Meeting of the Association for Computational Linguistics on Human Language Technologies Short Papers - HLT '08
R11,Science,R25209,Distributed Selfish Replication
R11,Science,R25215,A Distributed Algorithm for Web content Replication
R11,Science,R25221,Dynamic Replica Placement for Scalable Content Delivery
R11,Science,R25233,Arabic SentiWordNet in relation to SentiWordNet
R11,Science,R25227,Toward building a large-scale Arabic sentiment lexicon
R11,Science,R25229,Arabic sentiment analysis: Lexicon-based and corpus-based
R11,Science,R25243,Building Large Arabic Multi-domain Resources for Sentiment Analysis
R11,Science,R25231,Proceedings of Human Language Technologies: The Annual Conference of the North American Chapter of the Association for Computational Linguistics: Demonstrations on XX - NAACL '07
R11,Science,R25239,Building an Arabic sentiment lexicon using semi-supervised learning
R11,Science,R25247,SLSA: A Sentiment Lexicon for Standard Arabic
R11,Science,R25241,"SANA: A large scale multi-genre, multi-dialect lexicon for Arabic subjectivity and sentiment analysis"
R11,Science,R25245,Automatic expandable large-scale sentiment lexicon of modern standard Arabic and colloquial
R11,Science,R25249,NileULex: A phrase and word level sentiment lexicon for egyptian and modern standard Arabic
R11,Science,R25235,Automatic Lexicon Construction for Arabic Sentiment Analysis
R11,Science,R25253,AraSenTi: Large-Scale Twitter-Specific Arabic Sentiment Lexicons
R11,Science,R25260,Adaptive fuzzy-valued service selection
R11,Science,R25280,Discovering semantic Web services via advanced graph-based matching
R11,Science,R25251,Arabic senti-lexicon: Constructing publicly available language resources for Arabic sentiment analysis
R11,Science,R25269,On Extending Semantic Matchmaking to Include Preconditions and Effects
R11,Science,R25272,Flexible Semantic-Based Service Matchmaking and Discovery
R11,Science,R25264,Semantic matchmaker with precondition and effect matching using SWRL
R11,Science,R25237,A Large Scale Arabic Sentiment Lexicon for Arabic Opinion Mining
R11,Science,R25276,Semantics-based composition-oriented discovery of Web services
R11,Science,R25283,BeMatch
R11,Science,R25288,A QoS Broker Based Architecture for Dynamic Web Service Selection
R11,Science,R25290,An abstract model of service discovery and binding
R11,Science,R25304,Self-adaptive semantic web service matching method
R11,Science,R25300,Web services discovery and rank: An information retrieval approach
R11,Science,R25311,Web Service Matching by Ontology Instance Categorization
R11,Science,R25294,A hybrid approach to semantic web services matchmaking
R11,Science,R25309,iSeM: Approximated Reasoning for Adaptive Hybrid Selection of Semantic Services
R11,Science,R25298,Research on Services Matching and Ranking Based on Fuzzy QoS Ontology
R11,Science,R25296,Approximate Structure-Preserving Semantic Matching
R11,Science,R25302,On the functional quality of service (FQoS) to discover and compose interoperable web services
R11,Science,R25307,Efficient QoS-Aware Service Composition with a Probabilistic Service Selection Policy
R11,Science,R25314,Consumer-centric QoS-aware selection of web services
R11,Science,R25328,Effective and Flexible NFP-Based Ranking of Web Services
R11,Science,R25317,A Fuzzy-set based Semantic Similarity Matching Algorithm for Web Service
R11,Science,R25334,URBE: Web Service Retrieval Based on Similarity Evaluation
R11,Science,R25285,YASA-M: A Semantic Web Service Matchmaker
R11,Science,R25326,Incremental Service Composition Based on Partial Matching of Visual Contracts
R11,Science,R25331,Research on Fuzzy Matching Model for Semantic Web Services
R11,Science,R25341,Discovering Services during Service-Based System Design Using UML
R11,Science,R25338,Efficient Semantic Web Service Discovery in Centralized and P2P Environments
R11,Science,R25323,Semantic Web Service Selection Based on Business Offering
R11,Science,R25346,QoS-aware web services selection with intuitionistic fuzzy set under consumer’s vague perception
R11,Science,R25344,A new service matching definition and algorithm with SAWSDL
R11,Science,R25320,Measuring Similarity of Web Services Based on WSDL
R11,Science,R25436,"Aspects of Service-Oriented Computing”, The Journal for Computing Teachers"
R11,Science,R25429,"Jem treadwell “An Overview of Service- Oriented Architecture, Web Services and Grid Computing”, White Paper of HP Software Global Business Unit"
R11,Science,R25348,Study on Web Service Matching and Composition Based on Ontology
R11,Science,R25350,A New Framework for Web Service Discovery Based on Behavior
R11,Science,R25354,A New Approach for Semantic Web Matching
R11,Science,R25356,WSExpress: A QoS-aware Search Engine for Web Services
R11,Science,R25374,DSL-based support for semi-automated architectural component model abstraction throughout the software lifecycle
R11,Science,R25363,Experiments in the use of XML to enhance traceability between object-oriented design specifications and source code
R11,Science,R25371,Automatic Tracing of Decisions to Architecture and Implementation
R11,Science,R25367,Evolving object oriented design to improve code traceability
R11,Science,R25380,Enabling Automated Traceability Maintenance through the Upkeep of Traceability Relations
R11,Science,R25404,A Reliability Evaluation Framework on Composite Web Service
R11,Science,R25391,The molhado hypertext versioning system
R11,Science,R25388,Continuous and automated evolution of architecture-to-implementation traceability links
R11,Science,R25384,A tactic-centric approach for automating traceability of quality concerns
R11,Science,R25408,A Rule-Based Approach For Estimating The Reliability Of Component-Based Systems
R11,Science,R25398,Architectural point mapping for design traceability
R11,Science,R25394,VbTrace: using view-based and model-driven development to support traceability in process-driven SOAs
R11,Science,R25423,Reliability Modeling for SOA Systems
R11,Science,R25431,Automatic Reliability Management in SOA-based critical systems
R11,Science,R25412,End-to-end reliability of service oriented applications
R11,Science,R25426,An Enhance Approach For Web Services Discovery with QoS
R11,Science,R25418,Composite web QoS with workflow conditional pathways using bounded sets
R11,Science,R25420,Hybrid Reliability Model to Enhance the Efficiency of Composite Web Services
R11,Science,R25416,Dependability and Rollback Recovery For Composite Web Services
R11,Science,R25439,Reliability of Component Based systems- a Critical Survey
R11,Science,R25442,Synergies between SOA and Grid computing
R11,Science,R25433,"Component-Based Software Engineering: Technologies, Development Frameworks, and Quality Assurance Schemes”, Asia-Pacific Software Engineering Conference"
R11,Science,R25445,Estimating Reliability Of Service-Oriented Systems: A Rule- Based Approach”
R11,Science,R25451,One-Day Bayesian Cloning of Type 1 Diabetes Subjects: Toward a Single-Day UVA/Padova Type 1 Diabetes Simulator
R11,Science,R25377,Automatically identifying changes that impact code-to-design traceability during evolution
R11,Science,R25463,A deep analysis on optimization techniques for appropriate PID tuning to incline efficient artificial pancreas
R11,Science,R25449,Robust PBPK/PD-Based Model Predictive Control of Blood Glucose
R11,Science,R25457,Event-Triggered Model Predictive Control for Embedded Artificial Pancreas Systems
R11,Science,R25487,Development of a Reinforcement Learning-based Evolutionary Fuzzy Rule-Based System for diabetes diagnosis
R11,Science,R25453,Individualized model predictive control for the artificial pancreas: In silico evaluation of closed-loop glucose control
R11,Science,R25459,Model predictive control with integral action for artificial pancreas
R11,Science,R25465,Neural network-based model predictive control for type 1 diabetic rats on artificial pancreas system
R11,Science,R25467,Performance Analysis of Fuzzy-PID Controller for Blood Glucose Regulation in Type-1 Diabetic Patients
R11,Science,R25469,Postprandial fuzzy adaptive strategy for a hybrid proportional derivative controller for the artificial pancreas
R11,Science,R25475,Modeling Day-to-Day Variability of Glucose–Insulin Regulation Over 12-Week Home Use of Closed-Loop Insulin Delivery
R11,Science,R25471,Continuous blood glucose level prediction of Type 1 Diabetes based on Artificial Neural Network
R11,Science,R25455,Rapid Model Identification for Online Subcutaneous Glucose Concentration Prediction for New Subjects With Type I Diabetes
R11,Science,R25473,Toward a Run-to-Run Adaptive Artificial Pancreas: In Silico Results
R11,Science,R25481,An Ontology-Based Interpretable Fuzzy Decision Support System for Diabetes Diagnosis
R11,Science,R25477,Model Free iPID Control for Glycemia Regulation of Type-1 Diabetes
R11,Science,R25479,A Long-Term Model of the Glucose-Insulin Dynamics of Type 1 Diabetes
R11,Science,R25485,Adaptive sliding mode Gaussian controller for artificial pancreas in TIDM patient
R11,Science,R25461,A genetic algorithm approach to customizing a glucose model based on usual therapeutic parameters
R11,Science,R25497,Crowdfunding to generate crowdsourced R&D: The alternative paradigm of societal problem solving offered by second generation innovation and R&D
R11,Science,R25489,Adaptive fuzzy integral sliding mode control of blood glucose level in patients with type 1 diabetes: In silico studies
R11,Science,R25499,A rewarding experience? Exploring how crowdfunding is affecting music industry business models
R11,Science,R25493,A fuzzy- ontology-oriented case-based reasoning framework for semantic diabetes diagnosis
R11,Science,R25483,Adaptive model predictive control for a dual-hormone artificial pancreas
R11,Science,R25491,Model individualization for artificial pancreas
R11,Science,R25501,Platform Strategy and Market Response Impact on the Success of Crowdfunding: A Chinese Case
R11,Science,R25503,Product and Pricing Decisions in Crowdfunding
R11,Science,R25505,Social finance and crowdfunding for social enterprises: a public–private case study providing legitimacy and leverage
R11,Science,R25507,The formation and interplay of social capital in crowdfunded social ventures
R11,Science,R25521,The backer–developer connection: Exploring crowdfunding’s influence on video game production
R11,Science,R25509,Entrepreneurial implications of crowdfunding as alternative funding source for innovations
R11,Science,R25517,Choose wisely: Crowdfunding through the stages of the startup life cycle
R11,Science,R25515,The unique value of crowdfunding is not money - it’s community
R11,Science,R25523,"Toward a better understanding of crowdfunding, openness and the consequences for innovation"
R11,Science,R25511,Consumers' engagement in co- creation of value and crowdfunding: Naked wine as a best practice
R11,Science,R25513,The dynamics of crowdfunding: An exploratory study
R11,Science,R25519,The role of balanced centricity in the Spanish creative industries adopting a crowdfunding organisational model
R11,Science,R25525,Effects of Social Interaction Dynamics on Platforms
R11,Science,R25527,What Goes around Comes Around? Rewards as Strategic Assets in Crowdfunding
R11,Science,R25533,A Flexible Model-Driven Game Development Approach
R11,Science,R25535,Automatic prototyping in model-driven game development
R11,Science,R25539,Enabling Educators to Design Serious Games – A Serious Game Logic and Structure Modeling Language
R11,Science,R25531,A DSL for rapid prototyping of cross-platform tower defense games
R11,Science,R25541,"Enabling control of 3D visuals, scenarios and non-linear gameplay in serious game development through model-driven authoring"
R11,Science,R25545,MDA game design for video game development by genre
R11,Science,R25537,Building a Game Engine: A Tale of Modern Model-Driven Engineering
R11,Science,R25551,Model-driven development of interactive and integrated 2D and 3D user interfaces using mml
R11,Science,R25549,Model-Driven Serious Game Development Integration of the Gamification Modeling Language GaML with Unity
R11,Science,R25547,Model-driven development of user interfaces for educational games
R11,Science,R25543,Generating Ambient Behaviors in Computer Role-Playing Games
R11,Science,R25553,The RPG DSL: A case study of language engineering using MDD for generating RPG games for mobile phones
R11,Science,R25559,Gade4all: Developing multi-platform videogames based on domain specific languages and model-driven engineering
R11,Science,R25561,Model-driven game development-case study: An MTC for Mazegame s Prototyping
R11,Science,R25555,Virtual worlds on demand? Model-driven development of javascript-based virtual world UI components for mobile apps
R11,Science,R25615,The Impact of Methods and Techniques on Outcomes from Agile Software Development Projects
R11,Science,R25565,Using domain-specific modeling towards computer games development industrialization
R11,Science,R25563,PULP scription: A DSL for mobile HTML5 game applications
R11,Science,R25571,A Model-Based Approach for Designing Location-Based Games
R11,Science,R25567,Eberos GML2D
R11,Science,R25577,How to integrate domain-specific languages into the game development process
R11,Science,R25573,Models and mechanisms for implementing playful scenarios
R11,Science,R25581,RealCoins A Case Study of Enhanced Model Driven Development for Pervasive Games
R11,Science,R25575,Facilitating language-oriented game development by the help of language workbenches
R11,Science,R25569,Engine- Cooperative Game Modeling (ECGM)
R11,Science,R25591,Usage and Perceptions of Agile Software Development in an Industrial Context: An Exploratory Study
R11,Science,R25579,Improving digital game development with software product lines
R11,Science,R25587,Empirical Investigation on Agile Methods Usage: Issues Identified from Early Adopters in Malaysia)
R11,Science,R25595,Agile systems development and stakeholder satisfaction: a South African empirical study
R11,Science,R25599,Effects of agile practices on social factors
R11,Science,R25593,A survey study of critical success factors in agile software projects
R11,Science,R25605,Agile Team Perceptions of Productivity Factors
R11,Science,R25597,An empirical study on the relationship between the use of agile practices and the success of Scrum projects
R11,Science,R25602,Acceptance of software process innovations- The case of extreme programming
R11,Science,R25612,Investigating the Long-Term Acceptance of Agile Methodologies: An Empirical Study of Developer Perceptions in Scrum Projects
R11,Science,R25608,Identifying some important success factors in adopting agile software development practices
R11,Science,R25617,Understanding post-adoptive agile usage: An exploratory cross- case analysis
R11,Science,R25621,The influence of organizational culture on the adoption of extreme programming
R11,Science,R25623,Drivers of agile software development use: Dialectic interplay between benefits and hindrances. Information and Software Technology
R11,Science,R25557,A visual language for the creation of narrative educational games
R11,Science,R25625,Assimilation of agile practices in use
R11,Science,R25655,Comparing order picking assisted by head-up display versus pick-by-light with explicit pick confirmation
R11,Science,R25619,The Impact of Organizational Culture on Agile Method Use
R11,Science,R25627,Experience Report: The Social Nature of Agile Teams
R11,Science,R25610,A qualitative study of the determinants of self-managing team effectiveness in a scrum team
R11,Science,R25635,Augmented & Virtual Reality applications in the field of logistics
R11,Science,R25631,Reducing Warehouse Employee Errors Using Voice-Assisted Technology That Provided Immediate Feedback
R11,Science,R25633,Neue Techniken zur Informationsbereitstellung in der Kommissionierung. Neue Wege in der Automobillogistik
R11,Science,R25637,Pick-by-Vision
R11,Science,R25645,"Anordnung zur Übertragung von Zuständigkeiten für den Erlass von Widerspruchsbescheiden und die Vertretung des Dienstherrn bei Klagen von Beschäftigten der Bundesanstalt für Arbeitsschutz und Arbeitsmedizin in Reisekosten-, Umzugskosten- und Trennungsgeldangelegenheiten sowie in Angelegenheiten nach der Bundesbeihilfeverordnung"
R11,Science,R25641,An empirical task analysis of warehouse order picking using head-mounted displays
R11,Science,R25651,Order picking supported by mobile computing
R11,Science,R25643,Pick-by-vision: there is something to pick at the end of the augmented tunnel
R11,Science,R25722,Visualizing ontologies with VOWL
R11,Science,R25649,Vermeidung von Kommissionierfehlern mit Pick-by-Vision
R11,Science,R25639,Pick-by-Vision: A first stress test
R11,Science,R25683,Information content based ranking metric for linked open vocabularies
R11,Science,R25657,Pick from here!
R11,Science,R25659,"Exploring the role of picker personality in predicting picking performance with pick by voice, pick to light and RF-terminal picking"
R11,Science,R25701,GrOWL: A Tool for Visualization and Editing of OWL Ontologies
R11,Science,R25695,GrouseFlocks: Steerable Exploration of Graph Hierarchy Space
R11,Science,R25674,The World of Data Visualization
R11,Science,R25698,Node-centric RDF Graph Visualization
R11,Science,R25710,A Visualization Service for the Semantic Web
R11,Science,R25706,Gephi: An Open Source Software for Exploring and Manipulating Networks
R11,Science,R25661,"A Comparative Study of an Assistance System for Manual Order Picking -- Called Pick-by-Projection -- with the Guiding Systems Pick-by-Paper, Pick-by-Light and Pick-by-Display"
R11,Science,R25730,A Fast Algorithm for Mining Utility-Frequent Itemsets
R11,Science,R25728,A fast high utility itemsets mining algorithm
R11,Science,R25732,Fast Algorithms for Mining Association Rules
R11,Science,R25774,Palladium sulphide – A highly selective catalyst for the gas phase hydrogenation of alkynes to alkenes
R11,Science,R25724,graphVizdb: A scalable platform for interactive large graph visualization
R11,Science,R25736,An Efficient Algorithm for Mining Frequent Itemsets over the Entire History of Data Streams
R11,Science,R25734,A Fast Algorithm for Mining Share-Frequent Itemsets
R11,Science,R25738,CTU-Mine: An Efficient High Utility Itemset Mining Algorithm Using the Pattern Growth Approach
R11,Science,R25714,A Novel Approach to Visualizing and Navigating Ontologies
R11,Science,R25740,An efficient algorithm for mining temporal high utility itemsets from data streams
R11,Science,R25744,A Parallel Apriori Algorithm for Frequent Itemsets Mining
R11,Science,R25742,A transaction mapping algorithm for frequent itemsets mining
R11,Science,R25748,Efficient mining of weighted association rules (WAR)
R11,Science,R25750,Efficient Mining of High Utility Itemsets from Large Datasets
R11,Science,R25746,Mining High Utility Itemsets in Large High Dimensional Data
R11,Science,R25752,An effective Fuzzy Healthy Association Rule Mining Algorithm (FHARM)
R11,Science,R25754,Fuzzy Weighted Association Rule Mining with Weighted Support and Confidence Framework
R11,Science,R25760,Experiences of Using a Quantitative Approach for Mining Association Rules
R11,Science,R25653,"A comparison of order picking assisted by head-up display (HUD), cart-mounted display (CMD), light, and paper pick list"
R11,Science,R25758,PRICES: An Efficient Algorithm for Mining Association Rules
R11,Science,R25756,A trie-based APRIORI implementation for mining frequent item sequences
R11,Science,R25647,Visual Guided Picking -Ergonomische und wirtschaftliche Unterstützung in der Intralogistik
R11,Science,R25770,"A Highly Selective Catalyst for Partial Hydrogenation of 1,3-Butadiene: MgO-Supported Rhodium Clusters Selectively Poisoned with CO"
R11,Science,R25763,H-Mine: Fast and space-preserving frequent pattern mining in large databases
R11,Science,R25720,A Visual Summary for Linked Open Data sources
R11,Science,R25830,Room temperature O2 plasma treatment of SiO2 supported Au catalysts for selective hydrogenation of acetylene in the presence of large excess of ethylene
R11,Science,R25779,TiO2-modified nano-egg-shell Pd catalyst for selective hydrogenation of acetylene
R11,Science,R25776,Selective hydrogenation of mixed alkyne/alkene streams at elevated pressure over a palladium sulfide catalyst
R11,Science,R25772,Detecting the Genesis of a High-Performance Carbon-Supported Pd Sulfide Nanophase and Its Evolution in the Hydrogenation of Butadiene
R11,Science,R25781,Pd catalyst promoted by two metal oxides with different reducibilities: Properties and performance in the selective hydrogenation of acetylene
R11,Science,R25783,Pd@C core–shell nanoparticles on carbon nanotubes as highly stable and selective catalysts for hydrogenation of acetylene to ethylene
R11,Science,R25785,"Selective hydrogenation of 1,3-butadiene on platinum–copper alloys at the single-atom limit"
R11,Science,R25816,"Single-Atom Pd1/Graphene Catalyst Achieved by Atomic Layer Deposition: Remarkable Performance in Selective Hydrogenation of 1,3-Butadiene"
R11,Science,R25793,Performance of Cu-promoted Pd catalysts prepared by adding Cu using a surface redox method in acetylene hydrogenation
R11,Science,R25787,Promotional effect of Pd single atoms on Au nanoparticles supported on silica for the selective hydrogenation of acetylene in excess ethylene
R11,Science,R25795,Performance of Pd–Ag/Al2O3 catalysts prepared by the selective deposition of Ag onto Pd in acetylene hydrogenation
R11,Science,R25797,TiO2 supported Pd@Ag as highly selective catalysts for hydrogenation of acetylene in excess ethylene
R11,Science,R25791,Performance of Cu-Alloyed Pd Single-Atom Catalyst for Semihydrogenation of Acetylene under Simulated Front-End Conditions
R11,Science,R25789,Ag Alloyed Pd Single-Atom Catalysts for Efficient Selective Hydrogenation of Acetylene to Ethylene in Excess Ethylene
R11,Science,R25801,Synthesis and Catalytic Properties of Nanoparticulate Intermetallic Ga–Pd Compounds
R11,Science,R25803,Intermetallic Compound Pd 2 Ga as a Selective Catalyst for the Semi-Hydrogenation of Acetylene: From Model to High Performance Systems
R11,Science,R25799,Palladium–gallium intermetallic compounds for the selective hydrogenation of acetylenePart II: Surface characterization and catalytic performance
R11,Science,R25807,Nanosizing Intermetallic Compounds Onto Carbon Nanotubes: Active and Selective Hydrogenation Catalysts
R11,Science,R25809,PdZn Intermetallic Nanostructure with Pd–Zn–Pd Ensembles for Highly Active and Chemoselective Semi-Hydrogenation of Acetylene
R11,Science,R25826,"Supported gold catalysts for selective hydrogenation of 1,3-butadiene in the presence of an excess of alkenes"
R11,Science,R25824,50 ppm of Pd dispersed on Ni(OH)2 nanosheets catalyzing semi-hydrogenation of acetylene with high activity and selectivity
R11,Science,R25822,Pd/ZnO catalysts with different origins for high chemoselectivity in acetylene semi-hydrogenation
R11,Science,R25828,"Selective Hydrogenation of 1,3-Butadiene in the Presence of an Excess of Alkenes over Supported Bimetallic Gold−Palladium Catalysts"
R11,Science,R25818,Enhancing both selectivity and coking-resistance of a single-atom Pd1/C3N4 catalyst for acetylene hydrogenation
R11,Science,R25820,Atomically Dispersed Pd on Nanodiamond/Graphene Hybrid for Selective Hydrogenation of Acetylene
R11,Science,R25812,MOF-Confined Sub-2 nm Atomically Ordered Intermetallic PdZn Nanoparticles as High-Performance Catalysts for Selective Hydrogenation of Acetylene
R11,Science,R25836,"Comparative study of Au/ZrO2 catalysts in CO oxidation and 1,3-butadiene hydrogenation"
R11,Science,R25832,Selective hydrogenation of acetylene in excess ethylene over SiO2 supported Au–Ag bimetallic catalyst
R11,Science,R25834,"High performance of carbon nanotubes confining gold nanoparticles for selective hydrogenation of 1,3-butadiene and cinnamaldehyde"
R11,Science,R25842,Cooperative Effects in Ternary Cu−Ni−Fe Catalysts Lead to Enhanced Alkene Selectivity in Alkyne Hydrogenation
R11,Science,R25840,Partial hydrogenation of propyne over copper-based catalysts and comparison with nickel-based analogues
R11,Science,R25814,Isolated Single-Atom Pd Sites in Intermetallic Nanostructures: High Catalytic Selectivity for Semihydrogenation of Alkynes
R11,Science,R25848,Selective hydrogenation of acetylene on SiO2 supported Ni-In bimetallic catalysts: Promotional effect of In
R11,Science,R25850,Ceria in hydrogenation catalysis: high selectivity in the conversion of alkynes to olefins
R11,Science,R25844,Selective hydrogenation of acetylene in an ethylene-rich stream over silica supported Ag-Ni bimetallic catalysts
R11,Science,R25858,Beyond the use of modifiers in selective alkyne hydrogenation: silver and gold nanocatalysts in flow mode for sustainable alkene production
R11,Science,R25853,Semihydrogenation of Acetylene on Indium Oxide: Proposed Single-Ensemble Catalysis
R11,Science,R25868,Selective Hydrogenation of Polyunsaturated Fatty Acids Using Alkanethiol Self-Assembled Monolayer-Coated Pd/Al2O3 Catalysts
R11,Science,R25861,One-step Synthesis of Core-Gold/Shell- Ceria Nanomaterial and Its Catalysis for Highly Selective Semi- hydrogenation of Alkynes
R11,Science,R25863,"Green, Multi-Gram One-Step Synthesis of Core-Shell Nanocomposites in Water and Their Catalytic Application to Chemoselective Hydrogenations"
R11,Science,R25855,Crystal-Facet Effect of γ-Al2O3 on Supporting CrOx for Catalytic Semihydrogenation of Acetylene
R11,Science,R25865,Pd-Pb Alloy Nanocrystals with Tailored Composition for Semihydrogenation: Taking Advantage of Catalyst Poisoning
R11,Science,R25870,Selective ensembles in supported palladium sulfide nanoparticles for alkyne semi-hydrogenation
R11,Science,R25872,Metal-Ligand Core-Shell Nanocomposite Catalysts for the Selective Semihydrogenation of Alkynes
R11,Science,R25846,Al13Fe4 as a low-cost alternative for palladium in heterogeneous hydrogenation
R11,Science,R25876,A Pd- Cu2O nanocomposite as an effective synergistic catalyst for selective semi-hydrogenation of the terminal alkynes only
R11,Science,R25838,Gold(III) – metal organic framework bridges the gap between homogeneous and heterogeneous gold catalysts
R11,Science,R25874,Dual Pd and CuFe2O4 nanoparticles encapsulated in a core/shell silica microsphere for selective hydrogenation of arylacetylenes
R11,Science,R25880,Palladium nanoparticles supported on mpg-C3N4 as active catalyst for semihydrogenation of phenylacetylene under mild conditions
R11,Science,R25878,Selective Semihydrogenation of Alkynes Catalyzed by Pd Nanoparticles Immobilized on Heteroatom-Doped Hierarchical Porous Carbon Derived from Bamboo Shoots
R11,Science,R25888,Formation and Characterization of PdZn Alloy: A Very Selective Catalyst for Alkyne Semihydrogenation
R11,Science,R25890,Design of a difunctional Zn- Ti LDHs supported PdAu catalyst for selective hydrogenation of phenylacetylene
R11,Science,R25892,Palladium–gold single atom alloy catalysts for liquid phase selective hydrogenation of 1-hexyne
R11,Science,R25886,Achieving the Trade-Off between Selectivity and Activity in Semihydrogenation of Alkynes by Fabrication of (Asymmetrical Pd@Ag Core)@(CeO2 Shell) Nanocatalysts via Autoredox Reaction
R11,Science,R25882,Interstitial modification of palladium nanoparticles with boron atoms as a green catalyst for selective hydrogenation
R11,Science,R25894,Single atom alloy surface analogs in Pd0.18Cu15 nanoparticles for selective hydrogenation reactions
R11,Science,R25896,A stable single-site palladium catalyst for hydrogenations
R11,Science,R25902,Dry reagent dipstick test combined with 23S rRNA PCR for molecular diagnosis of bacterial infection in arthroplasty
R11,Science,R25904,Optimization of DNA-tagged dye-encapsulating liposomes for lateral-flow assays based on sandwich hybridization
R11,Science,R25884,Design of Core-Pd/Shell-Ag Nanocomposite Catalyst for Selective Semihydrogenation of Alkynes
R11,Science,R25908,"Development, Characterization, and Diagnostic Applications of Monoclonal Antibodies against Bovine Rotavirus"
R11,Science,R25906,"LEPTO dipstick, a dipstick assay for detection of Leptospira-specific immunoglobulin M antibodies in human sera."
R11,Science,R25914,Diagnosis of Schistosomiasis by Reagent Strip Test for Detection of Circulating Cathodic Antigen
